company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Coupa Software,USA,San Mateo,Enterprise Software,Battery Ventures,USA,Menlo Park,02/15/2011 00:00,2011-02,2011,12000000,coupasoftware,TRUE
Glassdoor,USA,Sausalito,Career Management,Battery Ventures,USA,Menlo Park,02/10/2011 00:00,2011-02,2011,12000000,glassdoor,TRUE
Nutanix,USA,San Jose,Enterprise Software,Battery Ventures,USA,Menlo Park,08/22/2012 00:00,2012-08,2012,33000000,nutanix,TRUE
Groupon,USA,Chicago,Advertising,Battery Ventures,USA,Menlo Park,04/18/2010 00:00,2010-04,2010,135000000,groupon,TRUE
Sprinklr,USA,New York,Social CRM,Battery Ventures,USA,Menlo Park,02/05/2013 00:00,2013-02,2013,15000000,sprinklr,TRUE
Sprinklr,USA,New York,Social CRM,Battery Ventures,USA,Menlo Park,03/07/2012 00:00,2012-03,2012,5000000,sprinklr,TRUE
Dollar Shave Club,USA,Los Angeles,E-Commerce,Battery Ventures,USA,Menlo Park,10/08/2013 00:00,2013-10,2013,12000000,dollarshaveclub,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,Battery Ventures,USA,Menlo Park,05/10/2012 00:00,2012-05,2012,22000000,coupasoftware,TRUE
Glassdoor,USA,Sausalito,Career Management,Battery Ventures,USA,Menlo Park,10/31/2012 00:00,2012-10,2012,20000000,glassdoor,TRUE
Groupon,USA,Chicago,Advertising,Battery Ventures,USA,Menlo Park,01/11/2011 00:00,2011-01,2011,950000000,groupon,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,Battery Ventures,USA,Menlo Park,04/09/2008 00:00,2008-04,2008,6000000,coupasoftware,TRUE
Delphix,USA,Menlo Park,Software,Battery Ventures,USA,Menlo Park,06/06/2012 00:00,2012-06,2012,25000000,delphix,TRUE
MuleSoft,USA,San Francisco,Data Integration,Bay Partners,USA,Menlo Park,03/30/2010 00:00,2010-03,2010,12000000,mulesoft,TRUE
MuleSoft,USA,San Francisco,Data Integration,Bay Partners,USA,Menlo Park,04/03/2013 00:00,2013-04,2013,37000000,mulesoft,TRUE
Powa Technologies,GBR,London,Point of Sale,Bay Pond Partners,USA,Boston,08/21/2013 00:00,2013-08,2013,76000000,powatechnologies,TRUE
DraftKings,USA,Boston,Games,BDS Venture Fund,,,11/26/2013 00:00,2013-11,2013,24000000,draftkings,TRUE
DraftKings,USA,Boston,Games,BDS Venture Fund,,,05/06/2013 00:00,2013-05,2013,7000000,draftkings,TRUE
Jasper,USA,Mountain View,Internet of Things,Bench,USA,New York,06/01/2007 00:00,2007-06,2007,31600000,jasper,TRUE
Quora,USA,Mountain View,Semantic Search,Benchmark,USA,Menlo Park,03/28/2010 00:00,2010-03,2010,11000000,quora,TRUE
Twitter,USA,San Francisco,Software,Benchmark,USA,Menlo Park,02/13/2009 00:00,2009-02,2009,35000000,twitter,TRUE
Uber,USA,San Francisco,Transportation,Benchmark,USA,Menlo Park,08/23/2013 00:00,2013-08,2013,258000000,uber,TRUE
