,funded_month,investor_state_code,Count
1575,2007-07,IRL,1
1584,2007-07,MUS,1
1589,2007-07,NM,1
1590,2007-07,NOR,1
1569,2007-07,GA,1
5616,2013-06,ARG,1
1596,2007-07,RI,1
1597,2007-07,SGP,1
1599,2007-07,TN,1
1602,2007-07,UT,1
5614,2013-06,AB,1
1605,2007-08,AL,1
1606,2007-08,ARG,1
5615,2013-06,AL,1
1608,2007-08,AUT,1
1567,2007-07,FL,1
5631,2013-06,EST,1
1526,2007-06,KOR,1
1527,2007-06,KWT,1
1528,2007-06,KY,1
1531,2007-06,MD,1
1532,2007-06,ME,1
1533,2007-06,MN,1
1535,2007-06,MUS,1
1564,2007-07,DC,1
5637,2013-06,HI,1
1543,2007-06,OR,1
1545,2007-06,PRT,1
1546,2007-06,QC,1
1547,2007-06,SVK,1
1550,2007-06,TWN,1
1553,2007-06,VT,1
1556,2007-07,AUT,1
1537,2007-06,NH,1
5608,2013-05,TUR,1
1620,2007-08,FIN,1
1623,2007-08,GA,1
1683,2007-09,MI,1
1685,2007-09,MO,1
1686,2007-09,MYS,1
1688,2007-09,NJ,1
1691,2007-09,OH,1
1694,2007-09,PA,1
1697,2007-09,SGP,1
1677,2007-09,ITA,1
1699,2007-09,TN,1
5586,2013-05,MEX,1
5585,2013-05,ME,1
1705,2007-09,WI,1
1706,2007-10,AL,1
1707,2007-10,BC,1
5582,2013-05,LUX,1
1716,2007-10,DNK,1
1700,2007-09,TWN,1
1675,2007-09,IRL,1
1673,2007-09,IN,1
5592,2013-05,NH,1
1633,2007-08,MEX,1
5604,2013-05,SC,1
1639,2007-08,NOR,1
5603,2013-05,RUS,1
1645,2007-08,RI,1
1646,2007-08,SWE,1
1648,2007-08,TWN,1
1650,2007-08,UT,1
5601,2013-05,POL,1
1653,2007-09,AB,1
1654,2007-09,AL,1
1656,2007-09,AUT,1
1657,2007-09,BC,1
1658,2007-09,BEL,1
1659,2007-09,BMU,1
1663,2007-09,CO,1
5595,2013-05,NM,1
5639,2013-06,ID,1
1718,2007-10,FIN,1
1520,2007-06,ID,1
1515,2007-06,FL,1
5690,2013-07,BGR,1
5688,2013-07,BC,1
1371,2007-03,ISL,1
5684,2013-07,AR,1
1373,2007-03,JPN,1
1374,2007-03,KY,1
1375,2007-03,LVA,1
1354,2007-03,AZ,1
1378,2007-03,MI,1
1380,2007-03,MYS,1
1382,2007-03,NH,1
1384,2007-03,NOR,1
1387,2007-03,OR,1
1392,2007-03,SWE,1
1395,2007-03,TWN,1
1400,2007-04,AL,1
1379,2007-03,MN,1
1404,2007-04,BEL,1
5698,2013-07,CYM,1
5699,2013-07,CZE,1
1304,2007-02,AZ,1
5717,2013-07,ISL,1
1312,2007-02,CYM,1
1316,2007-02,FL,1
1319,2007-02,HKG,1
1321,2007-02,IND,1
1326,2007-02,KOR,1
1345,2007-02,SAU,1
1327,2007-02,KWT,1
1333,2007-02,MS,1
1334,2007-02,MYS,1
1335,2007-02,NC,1
1336,2007-02,NGA,1
1337,2007-02,NJ,1
5705,2013-07,FIN,1
5701,2013-07,DE,1
1328,2007-02,LUX,1
1405,2007-04,BHR,1
1411,2007-04,DE,1
1416,2007-04,GA,1
1480,2007-05,NH,1
5652,2013-06,ME,1
1485,2007-05,OH,1
1489,2007-05,RI,1
1490,2007-05,SC,1
5648,2013-06,LTU,1
1492,2007-05,TWN,1
1478,2007-05,MYS,1
1494,2007-05,UT,1
1499,2007-06,AUS,1
1500,2007-06,AUT,1
1501,2007-06,AZ,1
1511,2007-06,DNK,1
1512,2007-06,ESP,1
1513,2007-06,EST,1
1514,2007-06,FIN,1
1497,2007-05,WI,1
1477,2007-05,MUS,1
1471,2007-05,KOR,1
1467,2007-05,IRL,1
5673,2013-06,SC,1
5671,2013-06,RI,1
1426,2007-04,MN,1
1427,2007-04,NC,1
1428,2007-04,NH,1
1431,2007-04,NOR,1
1436,2007-04,PRT,1
1441,2007-04,TN,1
1442,2007-04,TWN,1
1444,2007-04,UT,1
1447,2007-05,AUS,1
1450,2007-05,BHR,1
5662,2013-06,NM,1
1456,2007-05,DC,1
1459,2007-05,ESP,1
1460,2007-05,EST,1
5659,2013-06,NH,1
1519,2007-06,HKG,1
5581,2013-05,KS,1
1721,2007-10,GA,1
1723,2007-10,HKG,1
1977,2008-03,AUS,1
1978,2008-03,BC,1
1980,2008-03,BGR,1
1982,2008-03,CHE,1
5484,2013-04,ARG,1
1991,2008-03,GA,1
1995,2008-03,IND,1
1969,2008-02,TN,1
5479,2013-03,UKR,1
5477,2013-03,TWN,1
2002,2008-03,ME,1
2004,2008-03,MN,1
2005,2008-03,MO,1
2007,2008-03,NE,1
2008,2008-03,NH,1
2011,2008-03,NOR,1
1997,2008-03,ITA,1
2017,2008-03,TN,1
1968,2008-02,RUS,1
1964,2008-02,OR,1
1921,2008-01,UT,1
1926,2008-02,AZ,1
1928,2008-02,BRA,1
5508,2013-04,HKG,1
1931,2008-02,CHN,1
1939,2008-02,FL,1
5501,2013-04,EST,1
1966,2008-02,PHL,1
1942,2008-02,HKG,1
1947,2008-02,ITA,1
1949,2008-02,KOR,1
1955,2008-02,NH,1
1957,2008-02,NLD,1
1958,2008-02,NM,1
1959,2008-02,NV,1
1962,2008-02,OK,1
5497,2013-04,DE,1
2022,2008-03,WI,1
2024,2008-04,ARE,1
2027,2008-04,BMU,1
2078,2008-05,AL,1
2082,2008-05,BHR,1
2092,2008-05,ESP,1
2093,2008-05,FIN,1
5451,2013-03,LUX,1
5450,2013-03,LBN,1
2097,2008-05,HKG,1
2077,2008-04,WY,1
2098,2008-05,HUN,1
2100,2008-05,IND,1
5448,2013-03,KS,1
2104,2008-05,LUX,1
2108,2008-05,MI,1
2110,2008-05,MO,1
2111,2008-05,MYS,1
2113,2008-05,NJ,1
5449,2013-03,LA,1
2076,2008-04,WI,1
2074,2008-04,VT,1
5459,2013-03,NE,1
2034,2008-04,DE,1
2036,2008-04,ESP,1
2043,2008-04,ID,1
5464,2013-03,NV,1
2048,2008-04,ITA,1
2049,2008-04,KOR,1
2050,2008-04,LUX,1
5463,2013-03,NOR,1
2052,2008-04,MB,1
2054,2008-04,ME,1
2056,2008-04,MUS,1
2064,2008-04,OR,1
5460,2013-03,NH,1
2066,2008-04,QC,1
2068,2008-04,TN,1
2069,2008-04,TUR,1
2070,2008-04,TWN,1
1917,2008-01,SGP,1
1916,2008-01,SC,1
1914,2008-01,RI,1
1912,2008-01,POL,1
1784,2007-11,MI,1
1787,2007-11,MUS,1
1789,2007-11,NH,1
1793,2007-11,OH,1
1795,2007-11,OR,1
5550,2013-05,ARG,1
1797,2007-11,PRT,1
5553,2013-05,BEL,1
5549,2013-05,AR,1
5547,2013-04,WI,1
1805,2007-12,AL,1
1806,2007-12,AUS,1
1807,2007-12,AZ,1
1815,2007-12,CYM,1
1820,2007-12,FIN,1
1821,2007-12,FL,1
5548,2013-05,AL,1
1779,2007-11,IRL,1
1776,2007-11,HUN,1
1774,2007-11,GRC,1
1724,2007-10,ID,1
5579,2013-05,KHM,1
1726,2007-10,IN,1
1727,2007-10,IND,1
1728,2007-10,IRL,1
1731,2007-10,KWT,1
1732,2007-10,KY,1
1738,2007-10,MYS,1
1742,2007-10,NOR,1
1746,2007-10,OR,1
5571,2013-05,HKG,1
