index,company_name,company_market,company_country_code,raised_amount_usd
3249,Peraso Technologies,Semiconductors,CAN,40000000.0
521,Bigcommerce,Web Development,USA,40000000.0
1231,Delenex Therapeutics,Biotechnology,CHE,40000000.0
1383,EcoFactor,Enterprise Software,USA,40000000.0
4443,Telly,Mobile,USA,40000000.0
88,Accela,Software,USA,40000000.0
94,AcelRx Pharmaceuticals,Health Care,USA,40000000.0
3755,SAGE Therapeutics,Biotechnology,GBR,40000000.0
3658,Replicon,Enterprise Software,CAN,40000000.0
1508,Evotec,Biotechnology,DEU,40000000.0
234,Ambiq Micro,Semiconductors,USA,40000000.0
5222,ecoATM,Clean Technology,USA,40000000.0
4021,Skyhigh Networks,Data Security,USA,40000000.0
4630,TubeMogul,Analytics,USA,40000000.0
2701,Miaozhen Systems,Advertising,CHN,40000000.0
3823,Scifiniti,Clean Technology,USA,40000000.0
4482,The Receivables Exchange,Finance,USA,40000000.0
3825,Sckipio Technologies,Semiconductors,ISR,40000000.0
4251,SugarCRM,CRM,USA,40000000.0
17,3-V Biosciences,Biotechnology,USA,40000000.0
1418,Electric Cloud,Software,GBR,40000000.0
2432,Leyden Energy,Manufacturing,USA,40000000.0
1147,CustomInk,Fashion,USA,40000000.0
4824,Virident Systems,Technology,USA,40000000.0
2968,Nginx,Software,USA,40000000.0
3916,Shazam Entertainment,iOS,USA,40000000.0
3500,Q2ebanking,Software,USA,40000000.0
2503,Loggly,Enterprise Software,USA,40000000.0
5072,Zamplus Technology,Enterprise Software,CHN,40000000.0
4262,Sungy Mobile,Mobile Software Tools,CHN,40000000.0
2502,Logentries,Business Analytics,USA,40000000.0
4533,TinyCo,Games,USA,40000000.0
4827,Virtustream,Enterprise Software,USA,40000000.0
1235,Delivery Agent,E-Commerce,USA,40364800.0
4832,Visterra,Biotechnology,USA,40500000.0
1342,E la Carte,Hardware + Software,USA,40500000.0
2713,Middle Peak Medical,Biotechnology,USA,40500000.0
2958,NextDocs,Software,USA,40500000.0
2251,Kareo,Software,USA,41000000.0
1330,Duda,Curated Web,USA,41200000.0
400,Aveillant,Consulting,GBR,41336308.0
2928,Netsocket,Networking,USA,41500000.0
1762,GetYourGuide,Marketplaces,CHE,42000000.0
4790,Verve Mobile,Mobile,USA,42000000.0
827,ChaCha,Search,USA,42000000.0
5001,XMOS,Semiconductors,GBR,42000000.0
2161,Iora Health,Health and Wellness,USA,42000000.0
1312,Drawbridge Inc.,Ad Targeting,USA,42000000.0
4103,Solve Media,Video,USA,42000000.0
326,Ariisto,Real Estate,IND,42000000.0
198,Aldera,Heathcare,USA,42000000.0
2616,Marqeta,Curated Web,USA,42000000.0
3536,Quorum,Network Security,USA,42000000.0
1945,Heptares Therapeutics,Biotechnology,GBR,42000000.0
1443,EndoStim,Biotechnology,USA,42300000.0
2536,Luxoft,Technology,RUS,42400000.0
3174,PagerDuty,IT Management,USA,42800000.0
3090,Ooyala,Video,USA,43000000.0
1740,Gati Infrastructure,Clean Technology,IND,43000000.0
2772,Moda Operandi,Fashion,USA,43215812.0
4459,Thalmic Labs,Health and Wellness,CAN,43500000.0
4093,Sol Voltaics,Clean Technology,SWE,43600000.0
174,Aggregate Knowledge,Advertising,USA,43974495.0
1863,Gridstore,Web Development,USA,44000000.0
2101,Innovid,Virtualization,USA,44000000.0
4291,Svelte Medical Systems,Health Care,USA,44000000.0
3055,Oktogo,Hospitality,USA,44000000.0
3094,Open Road Integrated Media,Advertising,USA,44000000.0
36,500px,Photography,CAN,44000000.0
2358,Kyruus,Heathcare,USA,44000000.0
3517,Quad Learning,Education,USA,44000000.0
3369,Poppin,E-Commerce,USA,44400000.0
1655,Flywheel,Mobile,USA,44400000.0
