company_market,funded_quarter,funding,startup
Enterprise Software,2010-Q2,8000000.0,64
Enterprise Software,2010-Q3,5350000.0,86
Enterprise Software,2010-Q4,7000000.0,110
Enterprise Software,2011-Q1,7000000.0,99
Enterprise Software,2011-Q2,11000000.0,84
Enterprise Software,2011-Q3,7000000.0,122
Enterprise Software,2011-Q4,4500000.0,92
Enterprise Software,2012-Q1,7000000.0,109
Enterprise Software,2012-Q2,8000000.0,114
Enterprise Software,2012-Q3,5000000.0,82
Enterprise Software,2012-Q4,5500000.0,112
Enterprise Software,2013-Q1,5041927.0,121
Enterprise Software,2013-Q2,4200000.0,177
Enterprise Software,2013-Q3,10000000.0,157
Enterprise Software,2013-Q4,9400000.0,110
Finance,2004-Q2,12900000.0,1
Finance,2004-Q3,3500000.0,4
Finance,2005-Q1,250000.0,3
Finance,2005-Q2,5000000.0,11
Finance,2005-Q3,10000000.0,7
Finance,2005-Q4,8750000.0,8
Finance,2006-Q1,10000000.0,20
Finance,2006-Q2,6000000.0,25
Finance,2006-Q3,6000000.0,24
Finance,2006-Q4,2750000.0,15
Finance,2007-Q1,12900000.0,40
Finance,2007-Q2,8000000.0,25
Finance,2007-Q3,20014500.0,40
Finance,2007-Q4,4345125.0,14
Finance,2008-Q1,12000000.0,26
Finance,2008-Q2,7132667.0,34
Finance,2008-Q3,8000000.0,7
Finance,2008-Q4,8270000.0,31
Finance,2009-Q1,7125000.0,12
Finance,2009-Q2,5000000.0,19
Finance,2009-Q3,1200000.0,29
Finance,2009-Q4,3780000.0,24
Finance,2010-Q1,12000000.0,27
Finance,2010-Q2,2000000.0,43
Finance,2010-Q3,2900000.0,40
Finance,2010-Q4,4000000.0,20
Finance,2011-Q1,3600000.0,56
Finance,2011-Q2,4000000.0,26
Finance,2011-Q3,6000000.0,57
Finance,2011-Q4,1700000.0,48
Finance,2012-Q1,4000000.0,30
Finance,2012-Q2,8000000.0,52
Finance,2012-Q3,2500000.0,48
Finance,2012-Q4,6500000.0,72
Finance,2013-Q1,3300000.0,50
Finance,2013-Q2,5900000.0,75
Finance,2013-Q3,5400000.0,113
Finance,2013-Q4,3500000.0,87
Games,2004-Q1,2000000.0,7
Games,2004-Q2,4625000.0,4
Games,2004-Q3,12000000.0,7
Games,2004-Q4,8000000.0,6
Games,2005-Q1,8000000.0,31
Games,2005-Q2,30000000.0,5
Games,2005-Q3,5268732.0,8
Games,2005-Q4,9000000.0,21
Games,2006-Q1,6500000.0,39
Games,2006-Q2,7500000.0,33
Games,2006-Q3,9100000.0,23
Games,2006-Q4,10000000.0,27
Games,2007-Q1,4610000.0,41
Games,2007-Q2,8000000.0,57
Games,2007-Q3,7994814.0,57
Games,2007-Q4,7000000.0,48
Games,2008-Q1,5300000.0,49
Games,2008-Q2,4950000.0,64
Games,2008-Q3,6500000.0,32
Games,2008-Q4,9900000.0,35
Games,2009-Q1,7500000.0,34
Games,2009-Q2,3000000.0,26
Games,2009-Q3,8000000.0,35
Games,2009-Q4,5070000.0,41
Games,2010-Q1,3000000.0,43
Games,2010-Q2,5000000.0,49
Games,2010-Q3,1550000.0,45
Games,2010-Q4,3000000.0,33
Games,2011-Q1,2499999.0,51
Games,2011-Q2,6000000.0,63
Games,2011-Q3,6000000.0,45
Games,2011-Q4,2000000.0,54
Games,2012-Q1,1563274.0,57
Games,2012-Q2,2000000.0,48
Games,2012-Q3,2600000.0,59
Games,2012-Q4,1600000.0,66
Games,2013-Q1,2000000.0,51
Games,2013-Q2,1900000.0,79
Games,2013-Q3,1150000.0,48
Games,2013-Q4,5300000.0,75
Hardware + Software,2004-Q1,25750000.0,10
Hardware + Software,2004-Q4,10500000.0,3
Hardware + Software,2005-Q1,6600000.0,48
Hardware + Software,2005-Q2,7000000.0,37
Hardware + Software,2005-Q3,8000000.0,71
Hardware + Software,2005-Q4,11309602.0,60
Hardware + Software,2006-Q1,6480000.0,69
Hardware + Software,2006-Q2,9000000.0,34
Hardware + Software,2006-Q3,9500000.0,44
Hardware + Software,2006-Q4,8880000.0,55
Hardware + Software,2007-Q1,5837089.0,70
Hardware + Software,2007-Q2,13000000.0,42
Hardware + Software,2007-Q3,13360000.0,46
Hardware + Software,2007-Q4,10730000.0,67
Hardware + Software,2008-Q1,3150000.0,51
Hardware + Software,2008-Q2,7720000.0,41
Hardware + Software,2008-Q3,16750000.0,50
Hardware + Software,2008-Q4,6250000.0,42
Hardware + Software,2009-Q1,8000000.0,32
Hardware + Software,2009-Q2,4000000.0,43
Hardware + Software,2009-Q3,17300000.0,51
Hardware + Software,2009-Q4,8000000.0,43
Hardware + Software,2010-Q1,4920000.0,68
Hardware + Software,2010-Q2,3250000.0,40
Hardware + Software,2010-Q3,1729681.0,43
Hardware + Software,2010-Q4,6000000.0,19
Hardware + Software,2011-Q1,10000000.0,23
Hardware + Software,2011-Q2,13000000.0,39
Hardware + Software,2011-Q3,13298800.0,44
Hardware + Software,2011-Q4,6100000.0,21
Hardware + Software,2012-Q1,5000000.0,41
Hardware + Software,2012-Q2,2906886.0,37
Hardware + Software,2012-Q3,1500000.0,35
Hardware + Software,2012-Q4,6500000.0,43
Hardware + Software,2013-Q1,3372940.5,28
Hardware + Software,2013-Q2,2000000.0,84
Hardware + Software,2013-Q3,3700000.0,84
Hardware + Software,2013-Q4,5000000.0,102
Health Care,2004-Q2,33000000.0,8
Health Care,2004-Q3,12000000.0,3
Health Care,2004-Q4,11000000.0,3
Health Care,2005-Q1,31500000.0,20
Health Care,2005-Q2,10000000.0,18
Health Care,2005-Q3,6230000.0,11
Health Care,2005-Q4,15000000.0,29
Health Care,2006-Q1,6500000.0,28
Health Care,2006-Q2,10140000.0,36
Health Care,2006-Q3,12960000.0,49
Health Care,2006-Q4,19000000.0,67
Health Care,2007-Q1,15000000.0,50
Health Care,2007-Q2,10700000.0,33
Health Care,2007-Q3,30000000.0,38
Health Care,2007-Q4,25000000.0,31
Health Care,2008-Q1,15000000.0,82
Health Care,2008-Q2,20300000.0,44
Health Care,2008-Q3,18000000.0,24
Health Care,2008-Q4,12000000.0,34
Health Care,2009-Q1,7000000.0,56
Health Care,2009-Q2,25000000.0,101
Health Care,2009-Q3,10000000.0,43
Health Care,2009-Q4,20000000.0,114
Health Care,2010-Q1,16500000.0,65
Health Care,2010-Q2,15000000.0,79
Health Care,2010-Q3,15000000.0,84
Health Care,2010-Q4,15000000.0,70
Health Care,2011-Q1,20000000.0,93
Health Care,2011-Q2,15000000.0,83
Health Care,2011-Q3,23000000.0,85
Health Care,2011-Q4,12509719.0,85
Health Care,2012-Q1,10890114.0,106
Health Care,2012-Q2,10000000.0,130
Health Care,2012-Q3,12000000.0,99
Health Care,2012-Q4,10000000.0,68
Health Care,2013-Q1,18905707.0,114
Health Care,2013-Q2,11624721.5,64
Health Care,2013-Q3,10000000.0,65
Health Care,2013-Q4,8453472.5,96
Mobile,2004-Q1,13500000.0,25
Mobile,2004-Q2,14000000.0,5
Mobile,2004-Q3,1221900.0,3
Mobile,2004-Q4,2644091.0,7
Mobile,2005-Q1,10000000.0,48
Mobile,2005-Q2,10000000.0,40
Mobile,2005-Q3,10500000.0,53
Mobile,2005-Q4,9620000.0,52
Mobile,2006-Q1,10000000.0,87
Mobile,2006-Q2,10500000.0,79
Mobile,2006-Q3,8500000.0,82
Mobile,2006-Q4,8500000.0,70
Mobile,2007-Q1,12000000.0,86
Mobile,2007-Q2,5500000.0,55
Mobile,2007-Q3,12000000.0,87
Mobile,2007-Q4,11000000.0,47
Mobile,2008-Q1,7100000.0,84
Mobile,2008-Q2,12000000.0,91
Mobile,2008-Q3,6000000.0,52
Mobile,2008-Q4,14500000.0,89
Mobile,2009-Q1,8000000.0,36
Mobile,2009-Q2,5450000.0,42
Mobile,2009-Q3,8590000.0,25
Mobile,2009-Q4,7000000.0,52
Mobile,2010-Q1,4145600.0,84
Mobile,2010-Q2,8707727.0,83
Mobile,2010-Q3,3500000.0,85
Mobile,2010-Q4,3000000.0,82
Mobile,2011-Q1,6907310.0,134
Mobile,2011-Q2,5000000.0,80
Mobile,2011-Q3,1500000.0,101
Mobile,2011-Q4,1700000.0,93
Mobile,2012-Q1,1800000.0,145
Mobile,2012-Q2,2800000.0,136
Mobile,2012-Q3,2700000.0,137
Mobile,2012-Q4,1300000.0,141
Mobile,2013-Q1,1200000.0,179
Mobile,2013-Q2,2000000.0,148
Mobile,2013-Q3,1600000.0,106
Mobile,2013-Q4,3100000.0,194
Security,2004-Q1,7880000.0,5
Security,2004-Q2,12000000.0,11
Security,2004-Q4,29000000.0,10
Security,2005-Q1,5500000.0,41
Security,2005-Q2,8500000.0,39
Security,2005-Q3,7000000.0,25
Security,2005-Q4,10000000.0,77
Security,2006-Q1,8500000.0,33
Security,2006-Q2,7140000.0,34
Security,2006-Q3,6000000.0,51
Security,2006-Q4,4000000.0,27
Security,2007-Q1,11600000.0,40
Security,2007-Q2,7500000.0,47
Security,2007-Q3,8000000.0,26
Security,2007-Q4,6510000.0,32
Security,2008-Q1,8485000.0,26
Security,2008-Q2,8000000.0,37
Security,2008-Q3,10000000.0,14
Security,2008-Q4,10000000.0,26
Security,2009-Q1,3000000.0,16
Security,2009-Q2,8800000.0,27
Security,2009-Q3,8700000.0,23
Security,2009-Q4,6200000.0,20
Security,2010-Q1,2280161.0,13
Security,2010-Q2,8000000.0,27
Security,2010-Q3,6250000.0,14
Security,2010-Q4,12500000.0,32
Security,2011-Q1,1500000.0,20
Security,2011-Q2,1435800.0,43
Security,2011-Q3,19000000.0,24
Security,2011-Q4,8000000.0,20
Security,2012-Q1,5300000.0,22
Security,2012-Q2,6250000.0,47
Security,2012-Q3,5777680.5,22
Security,2012-Q4,750000.0,17
Security,2013-Q1,2400000.0,42
Security,2013-Q2,9400000.0,26
Security,2013-Q3,2950000.0,54
Security,2013-Q4,10000000.0,53
Semiconductors,2004-Q1,3520000.0,3
Semiconductors,2004-Q2,2007340.0,12
Semiconductors,2004-Q3,7231399.5,4
Semiconductors,2004-Q4,16500000.0,14
Semiconductors,2005-Q1,9270000.0,66
Semiconductors,2005-Q2,13500000.0,79
Semiconductors,2005-Q3,13000000.0,75
Semiconductors,2005-Q4,12000000.0,86
Semiconductors,2006-Q1,10650000.0,100
Semiconductors,2006-Q2,14750000.0,100
Semiconductors,2006-Q3,10000000.0,100
Semiconductors,2006-Q4,15000000.0,73
Semiconductors,2007-Q1,14200000.0,163
Semiconductors,2007-Q2,16000000.0,69
Semiconductors,2007-Q3,19500000.0,95
Semiconductors,2007-Q4,14999999.0,36
Semiconductors,2008-Q1,17000000.0,66
Semiconductors,2008-Q2,12500000.0,47
Semiconductors,2008-Q3,13000000.0,35
Semiconductors,2008-Q4,14000000.0,59
Semiconductors,2009-Q1,10000000.0,55
Semiconductors,2009-Q2,20000000.0,51
Semiconductors,2009-Q3,16000000.0,48
Semiconductors,2009-Q4,8000000.0,53
Semiconductors,2010-Q1,8195300.0,46
Semiconductors,2010-Q2,7500000.0,59
Semiconductors,2010-Q3,8205201.5,36
Semiconductors,2010-Q4,11000000.0,26
Semiconductors,2011-Q1,45000000.0,29
Semiconductors,2011-Q2,15000000.0,43
Semiconductors,2011-Q3,13000000.0,27
