investor_country_code,company_country_code,raised_amount_usd
MYS,NOR,152278.0
MYS,USA,57300000.0
NLD,AUT,35132000.0
NLD,BRA,3000000.0
NLD,CHE,38598000.0
NLD,DEU,20643300.0
NLD,FIN,2800000.0
NLD,FRA,19567500.0
NLD,GBR,3000000.0
NLD,NLD,53546156.0
NLD,USA,83839998.0
NOR,AUS,1000000.0
NOR,AUT,20000000.0
NOR,CHE,1400000.0
NOR,DEU,63220496.0
NOR,GBR,5034690.0
NOR,ITA,514640.0
NOR,NOR,3935106.0
NOR,SGP,800000.0
NOR,SWE,9400000.0
NOR,USA,26013865.0
NZL,NZL,600000.0
PHL,PHL,53000000.0
POL,ESP,707630.0
POL,ITA,7695200.0
POL,POL,1334000.0
POL,USA,1285000.0
PRT,GBR,1500000.0
PRT,PRT,1864256.0
ROM,ROM,70000.0
ROM,RUS,337000000.0
RUS,DEU,65878026.0
RUS,EST,18000000.0
RUS,GBR,7600000.0
RUS,IND,44000000.0
RUS,ISR,10200000.0
RUS,KOR,386519.0
RUS,LTU,25000000.0
RUS,NLD,2000000.0
RUS,ROM,15200000.0
RUS,RUS,233718173.0
RUS,SGP,550000.0
RUS,USA,196641670.0
SAU,BRA,7000000.0
SAU,USA,55000000.0
SGP,CHN,238824700.0
SGP,HKG,6000000.0
SGP,IDN,27000000.0
SGP,IND,10000000.0
SGP,ISR,6300000.0
SGP,JPN,22300000.0
SGP,MYS,4000000.0
SGP,PHL,11700.0
SGP,SGP,100864159.0
SGP,THA,400000.0
SGP,TWN,11700.0
SGP,USA,156435565.0
SWE,AUS,26000000.0
SWE,BRA,20000000.0
SWE,DEU,20000000.0
SWE,DNK,10300000.0
SWE,ESP,9400000.0
SWE,FIN,20000000.0
SWE,GBR,22394888.0
SWE,MEX,50000000.0
SWE,MYS,450000000.0
SWE,NGA,10000000.0
SWE,NOR,8374280.0
SWE,SGP,2900000.0
SWE,SWE,127797852.0
SWE,USA,147552000.0
THA,CHN,50000000.0
THA,SGP,615000.0
THA,THA,2332500.0
TTO,CAN,500000.0
TUR,CHN,50000000.0
TUR,TUR,15880000.0
TUR,USA,31100000.0
TWN,JPN,600000.0
TWN,USA,72850000.0
UKR,DEU,19400000.0
UKR,IND,200000.0
UKR,RUS,2500000.0
UKR,UKR,5020000.0
UKR,USA,3140000.0
USA,ARE,14360000.0
USA,ARG,58597500.0
USA,AUS,800457329.0
USA,AUT,117218600.0
USA,AZE,10000.0
USA,BGD,60000000.0
USA,BMU,526666000.0
USA,BRA,94000000.0
USA,CAN,2110129935.0
USA,CHE,275060416.0
USA,CHL,11000000.0
USA,CHN,990724314.0
USA,DEU,555062547.0
USA,DNK,3500000.0
USA,EGY,175000.0
USA,ESP,53043481.0
USA,EST,24300000.0
USA,FIN,198000000.0
USA,FRA,129709180.0
USA,GBR,994156608.0
USA,GHA,3600000.0
USA,GTM,489600.0
USA,HKG,56000000.0
USA,IDN,8360000.0
USA,IND,2442273112.0
USA,IRL,177635725.0
USA,ISR,1164209348.0
USA,ITA,5786600.0
USA,JPN,141724545.0
USA,KEN,20500000.0
USA,KOR,10489516.0
USA,LTU,6860880.0
USA,MEX,126535000.0
USA,MKD,12000000.0
USA,MYS,568000000.0
USA,NLD,137943800.0
USA,NZL,305012265.0
USA,RUS,381470000.0
USA,SGP,123350000.0
USA,SWE,337400000.0
USA,THA,500000.0
USA,TUR,75000000.0
USA,USA,97435638933.0
