,funded_month,investor_state_code,Count,latitude,longitude
3157,2010-09,NC,3,35.6411,-79.8431
3158,2012-10,NC,3,35.6411,-79.8431
3159,2012-11,NC,3,35.6411,-79.8431
3160,2012-09,NC,3,35.6411,-79.8431
3161,2011-07,NC,3,35.6411,-79.8431
3162,2011-02,NC,3,35.6411,-79.8431
3163,2008-09,NC,3,35.6411,-79.8431
3164,2006-03,NC,3,35.6411,-79.8431
3165,2007-08,NC,3,35.6411,-79.8431
3166,2006-11,NC,3,35.6411,-79.8431
3167,2007-07,NC,3,35.6411,-79.8431
3168,2006-09,NC,3,35.6411,-79.8431
3169,2011-12,NC,3,35.6411,-79.8431
3170,2008-02,NC,3,35.6411,-79.8431
3171,2008-07,NC,3,35.6411,-79.8431
3172,2007-10,NC,3,35.6411,-79.8431
3173,2007-11,NC,3,35.6411,-79.8431
3174,2012-02,NC,3,35.6411,-79.8431
3175,2007-03,NC,3,35.6411,-79.8431
3176,2006-01,NC,3,35.6411,-79.8431
3177,2009-03,NC,3,35.6411,-79.8431
3178,2011-10,NC,3,35.6411,-79.8431
3179,2009-08,NC,3,35.6411,-79.8431
3180,2013-07,NC,4,35.6411,-79.8431
3181,2013-04,NC,4,35.6411,-79.8431
3182,2007-05,NC,4,35.6411,-79.8431
3183,2005-04,NC,4,35.6411,-79.8431
3184,2012-03,NC,4,35.6411,-79.8431
3185,2007-09,NC,4,35.6411,-79.8431
3186,2009-02,NC,4,35.6411,-79.8431
3187,2013-01,NC,4,35.6411,-79.8431
3188,2009-04,NC,4,35.6411,-79.8431
3189,2008-12,NC,4,35.6411,-79.8431
3190,2012-12,NC,4,35.6411,-79.8431
3191,2009-06,NC,4,35.6411,-79.8431
3192,2006-08,NC,4,35.6411,-79.8431
3193,2012-04,NC,5,35.6411,-79.8431
3194,2011-08,NC,5,35.6411,-79.8431
3195,2009-12,NC,5,35.6411,-79.8431
3196,2008-11,NC,5,35.6411,-79.8431
3197,2008-10,NC,5,35.6411,-79.8431
3198,2006-06,NC,5,35.6411,-79.8431
3199,2010-10,NC,5,35.6411,-79.8431
3200,2010-05,NC,5,35.6411,-79.8431
3201,2013-06,NC,6,35.6411,-79.8431
3202,2013-05,NC,6,35.6411,-79.8431
3203,2012-01,NC,6,35.6411,-79.8431
