,Investor,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYM,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIB,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MAF,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TUR,TWN,UKR,USA
21,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000.0
22,ESP,0,5876948,0,0,0,0,0,0,0,0,1240380,16503016,112497455,4297719,15007503,725194,0,0,0,104624,37765178,0,0,0,5382826490,0,0,7818901,337401451,0,0,0,47434,0,0,50000,0,3318000,7461672,0,0,25025,0,0,0,0,0,0,0,0,0,0,4333700,0,0,0,85605160,0,0,0,1234146,0,0,7720000,1200000,0,0,6167000,0,0,195431,0,36446698,0,0,0,0,1636216988.0
23,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20395,0,0,0,0,21203367,7413259,0,50441500,0,0,0,0,1000000,0,0,0,19889,0,0,0,52194,0,0,0,0,0,20395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24485459.0
24,FIN,0,2460000,0,0,0,0,0,0,0,0,0,0,25966000,0,755700,0,0,0,0,0,20700000,14480000,0,0,1000000,0,2193148054,0,161369030,0,0,0,0,0,0,0,0,2587000,0,0,0,0,0,46400000,1000000,0,0,13000,0,192645,0,0,0,0,0,0,0,2490000,0,0,0,0,0,0,0,5000000,0,2900000,0,0,0,0,366841818,0,0,0,0,2881983200.0
25,FRA,0,150000,7730000,150000,61378400,0,746417110,0,0,0,303774152,294852300,2186426952,0,231125000,0,0,0,0,0,2672686168,26400000,0,0,642599185,200000,17946020,23183383096,2183856574,0,0,0,0,24941059,0,0,0,45800000,50393130,0,108818558,1413176,0,112700000,0,0,0,0,7530000,0,102040000,0,0,0,0,0,684557600,139764,1370000,150000,0,0,0,0,0,262950000,0,7000000,0,0,0,0,1679232,0,34190000,0,0,11355271527.0
26,GBR,20000000,66561965,0,32858319,153009663,0,126258125,0,0,0,127450000,1708029321,1534178474,0,3221300000,0,0,0,0,0,5365689818,116595029,0,102000000,1278779561,2146700,481780365,3382050721,51994139741,1219615,0,0,0,0,0,0,0,1394650000,1860967439,19311,1152143112,17154814,0,342171207,0,0,0,420236,0,323406,0,0,0,0,250042378,0,727803753,29760000,1670000,0,0,0,2439299,91190015,0,1342600000,0,85000000,0,0,0,0,1621569436,0,139200000,0,0,74323090407.0
27,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.0
28,GRC,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,40404,0,0,0,0,0,6872832,0,0,0,55000,0,0,5964633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940000,0,0,0,0,0,0,0,0,0,0,0,0,2198000.0
29,HKG,0,0,0,0,0,0,100000000,0,0,0,0,463396864,0,0,7314779924,0,0,0,0,0,0,0,0,0,73930000,0,0,0,75987458,0,0,0,0,1080000,0,0,0,932300000,0,0,250070000,0,0,32100000,0,0,0,0,0,0,0,0,0,0,0,10000000,19000000,0,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,93280000,0,0,0,0,3956250000.0
30,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448560.0
